Order ID,Order Date,Ship Date,Customer Segment,Country,Category,Product,Quantity,Unit Price ($),Discount,Revenue ($),Cost ($),Profit ($),Profit Margin %,Shipping Days,Month Name
ORD-2023-1025,2023-11-03,2023-11-06,Small Business,Saudi Arabia,Mobile Devices,Smartwatch Series 5,1,280,0.1,252.0,150,102.0,40.476190476190474,3,Nov
ORD-2023-1026,2023-02-05,2023-02-08,Small Business,Uae,Audio & Accessories,Mechanical Gaming Keyboard,15,110,0.0,1650.0,675,975.0,59.09090909090909,3,Feb
ORD-2023-1027,2023-11-08,2023-11-11,Corporate,Germany,Audio & Accessories,Mechanical Gaming Keyboard,4,110,0.15,374.0,180,194.0,51.87165775401069,3,Nov
ORD-2023-1028,2023-05-26,2023-05-28,Consumer,Uae,Computing,"Tablet Air 10""",1,520,0.1,468.0,340,128.0,27.350427350427353,2,May
ORD-2023-1029,2023-09-09,2023-09-15,Consumer,Uae,Mobile Devices,Smartwatch Series 5,3,280,0.0,840.0,450,390.0,46.42857142857143,6,Sep
ORD-2023-1030,2023-05-04,2023-05-07,Consumer,United States,Computing,"Tablet Air 10""",1,520,0.0,520.0,340,180.0,34.61538461538461,3,May
ORD-2023-1031,2023-07-30,2023-08-01,Corporate,United States,Mobile Devices,Smartphone Ultra,5,950,0.05,4512.5,3000,1512.5,33.51800554016621,2,Jul
ORD-2023-1032,2023-08-27,2023-08-30,Corporate,Saudi Arabia,Computing,"Tablet Air 10""",4,520,0.0,2080.0,1360,720.0,34.61538461538461,3,Aug
ORD-2023-1033,2023-04-08,2023-04-12,Consumer,Germany,Mobile Devices,Smartphone Ultra,1,950,0.05,902.5,600,302.5,33.51800554016621,4,Apr
ORD-2023-1034,2023-04-01,2023-04-08,Consumer,United States,Displays,"4K UHD Monitor 27""",1,380,0.05,361.0,260,101.0,27.977839335180054,7,Apr
ORD-2023-1035,2023-06-19,2023-06-23,Consumer,Germany,Mobile Devices,Smartwatch Series 5,2,280,0.0,560.0,300,260.0,46.42857142857143,4,Jun
ORD-2023-1036,2023-06-09,2023-06-11,Corporate,Germany,Computing,"Tablet Air 10""",1,520,0.05,494.0,340,154.0,31.17408906882591,2,Jun
ORD-2023-1037,2023-08-12,2023-08-15,Consumer,United States,Computing,"Tablet Air 10""",4,520,0.0,2080.0,1360,720.0,34.61538461538461,3,Aug
ORD-2023-1038,2023-07-16,2023-07-17,Consumer,Saudi Arabia,Computing,Laptop Pro 15,2,1200,0.0,2400.0,1560,840.0,35.0,1,Jul
ORD-2023-1039,2023-02-19,2023-02-22,Corporate,Egypt,Audio & Accessories,Noise-Cancelling Headphones,5,220,0.05,1045.0,475,570.0,54.54545454545454,3,Feb
ORD-2023-1040,2023-08-20,2023-08-25,Consumer,Egypt,Mobile Devices,Smartphone Ultra,1,950,0.0,950.0,600,350.0,36.84210526315789,5,Aug
ORD-2023-1041,2023-07-13,2023-07-19,Consumer,Uae,Audio & Accessories,Noise-Cancelling Headphones,2,220,0.0,440.0,190,250.0,56.81818181818182,6,Jul
ORD-2023-1042,2023-12-10,2023-12-13,Small Business,Saudi Arabia,Displays,"4K UHD Monitor 27""",2,380,0.05,722.0,520,202.0,27.977839335180054,3,Dec
ORD-2023-1043,2023-11-02,2023-11-04,Corporate,United Kingdom,Mobile Devices,Smartwatch Series 5,1,280,0.0,280.0,150,130.0,46.42857142857143,2,Nov
ORD-2023-1044,2023-06-13,2023-06-16,Consumer,Egypt,Audio & Accessories,Mechanical Gaming Keyboard,1,110,0.0,110.0,45,65.0,59.09090909090909,3,Jun
ORD-2023-1045,2023-02-13,2023-02-15,Corporate,Germany,Displays,"4K UHD Monitor 27""",4,380,0.0,1520.0,1040,480.0,31.57894736842105,2,Feb
ORD-2023-1046,2023-05-15,2023-03-24,Corporate,Egypt,Mobile Devices,Smartphone Ultra,1,950,0.05,902.5,600,302.5,33.51800554016621,-52,May
ORD-2023-1047,2023-04-02,2023-04-05,Consumer,Egypt,Audio & Accessories,Mechanical Gaming Keyboard,2,110,0.0,220.0,90,130.0,59.09090909090909,3,Apr
ORD-2023-1048,2023-03-30,2023-04-01,Corporate,Germany,Audio & Accessories,Mechanical Gaming Keyboard,15,110,0.1,1485.0,675,810.0,54.54545454545454,2,Mar
ORD-2023-1049,2023-11-22,2023-11-23,Corporate,United States,Mobile Devices,Smartphone Ultra,2,950,0.05,1805.0,1200,605.0,33.51800554016621,1,Nov
ORD-2023-1050,2023-01-15,2023-01-18,Consumer,Germany,Audio & Accessories,Mechanical Gaming Keyboard,2,110,0.1,198.0,90,108.0,54.54545454545454,3,Jan
ORD-2023-1051,2023-08-10,2023-08-12,Consumer,Egypt,Audio & Accessories,Mechanical Gaming Keyboard,1,110,0.2,88.0,45,43.0,48.86363636363637,2,Aug
ORD-2023-1052,2023-07-20,2023-07-23,Corporate,Saudi Arabia,Displays,"4K UHD Monitor 27""",5,380,0.3,1330.0,1300,30.0,2.2556390977443606,3,Jul
ORD-2023-1053,2023-02-19,2023-02-24,Consumer,Uae,Mobile Devices,Smartphone Ultra,3,950,0.1,2565.0,1800,765.0,29.82456140350877,5,Feb
ORD-2023-1054,2023-07-25,2023-07-27,Corporate,United States,Displays,"4K UHD Monitor 27""",3,380,0.1,1026.0,780,246.0,23.976608187134502,2,Jul
ORD-2023-1055,2023-08-13,2023-08-16,Corporate,Uae,Mobile Devices,Smartwatch Series 5,3,280,0.05,798.0,450,348.0,43.609022556390975,3,Aug
ORD-2023-1056,2023-12-11,2023-12-16,Consumer,Egypt,Displays,"4K UHD Monitor 27""",5,380,0.2,1520.0,1300,220.0,14.473684210526317,5,Dec
ORD-2023-1057,2023-02-05,2023-02-11,Consumer,Egypt,Computing,"Tablet Air 10""",1,520,0.15,442.0,340,102.0,23.076923076923077,6,Feb
ORD-2023-1058,2023-04-15,2023-04-18,Consumer,United Kingdom,Displays,"4K UHD Monitor 27""",1,380,0.05,361.0,260,101.0,27.977839335180054,3,Apr
ORD-2023-1059,2023-04-12,2023-04-17,Small Business,Saudi Arabia,Mobile Devices,Smartwatch Series 5,1,280,0.3,196.0,150,46.0,23.46938775510204,5,Apr
ORD-2023-1060,2023-03-08,2023-03-14,Small Business,Egypt,Mobile Devices,Smartphone Ultra,3,950,0.05,2707.5,1800,907.5,33.51800554016621,6,Mar
ORD-2023-1061,2023-02-24,2023-02-25,Small Business,Egypt,Displays,"4K UHD Monitor 27""",1,380,0.05,361.0,260,101.0,27.977839335180054,1,Feb
ORD-2023-1062,2023-05-01,2023-05-06,Small Business,Egypt,Computing,"Tablet Air 10""",1,520,0.15,442.0,340,102.0,23.076923076923077,5,May
ORD-2023-1063,2023-02-08,2023-02-15,Consumer,Egypt,Mobile Devices,Smartwatch Series 5,3,280,0.0,840.0,450,390.0,46.42857142857143,7,Feb
ORD-2023-1064,2023-08-01,2023-08-03,Corporate,Germany,Computing,Laptop Pro 15,1,1200,0.05,1140.0,780,360.0,31.57894736842105,2,Aug
ORD-2023-1065,2023-06-25,2023-06-26,Corporate,Germany,Displays,"4K UHD Monitor 27""",2,380,0.0,760.0,520,240.0,31.57894736842105,1,Jun
ORD-2023-1066,2023-09-22,2023-09-23,Corporate,Egypt,Audio & Accessories,Mechanical Gaming Keyboard,2,110,0.1,198.0,90,108.0,54.54545454545454,1,Sep
ORD-2023-1067,2023-10-22,2023-10-25,Corporate,United Kingdom,Displays,"4K UHD Monitor 27""",8,380,0.05,2888.0,2080,808.0,27.977839335180054,3,Oct
ORD-2023-1068,2023-02-07,2023-02-09,Consumer,Egypt,Computing,"Tablet Air 10""",3,520,0.0,1560.0,1020,540.0,34.61538461538461,2,Feb
ORD-2023-1069,2023-04-13,2023-04-16,Corporate,Uae,Mobile Devices,Smartphone Ultra,1,950,0.0,950.0,600,350.0,36.84210526315789,3,Apr
ORD-2023-1070,2023-06-09,2023-06-12,Corporate,Saudi Arabia,Mobile Devices,Smartwatch Series 5,4,280,0.0,1120.0,600,520.0,46.42857142857143,3,Jun
ORD-2023-1071,2023-11-23,2023-11-27,Corporate,Saudi Arabia,Computing,"Tablet Air 10""",3,520,0.1,1404.0,1020,384.0,27.350427350427353,4,Nov
ORD-2023-1072,2023-10-23,2023-10-28,Small Business,Germany,Displays,"4K UHD Monitor 27""",1,380,0.0,380.0,260,120.0,31.57894736842105,5,Oct
ORD-2023-1073,2023-11-19,2023-11-21,Small Business,Saudi Arabia,Mobile Devices,Smartphone Ultra,1,950,0.2,760.0,600,160.0,21.052631578947366,2,Nov
ORD-2023-1074,2023-02-23,2023-02-24,Consumer,United States,Mobile Devices,Smartphone Ultra,1,950,0.0,950.0,600,350.0,36.84210526315789,1,Feb
ORD-2023-1075,2023-01-15,2023-01-17,Consumer,Germany,Mobile Devices,Smartphone Ultra,2,950,0.05,1805.0,1200,605.0,33.51800554016621,2,Jan
ORD-2023-1076,2023-09-21,2023-09-23,Small Business,Germany,Mobile Devices,Smartwatch Series 5,1,280,0.05,266.0,150,116.0,43.609022556390975,2,Sep
ORD-2023-1077,2023-09-01,2023-09-04,Small Business,Uae,Audio & Accessories,Noise-Cancelling Headphones,5,220,0.05,1045.0,475,570.0,54.54545454545454,3,Sep
ORD-2023-1078,2023-08-22,2023-08-24,Corporate,Saudi Arabia,Audio & Accessories,Mechanical Gaming Keyboard,2,110,0.0,220.0,90,130.0,59.09090909090909,2,Aug
ORD-2023-1079,2023-01-22,2023-01-24,Corporate,Saudi Arabia,Computing,"Tablet Air 10""",5,520,0.15,2210.0,1700,510.0,23.076923076923077,2,Jan
ORD-2023-1080,2023-09-08,2023-09-11,Corporate,Saudi Arabia,Audio & Accessories,Mechanical Gaming Keyboard,2,110,0.0,220.0,90,130.0,59.09090909090909,3,Sep
ORD-2023-1081,2023-01-12,2023-01-14,Consumer,Germany,Audio & Accessories,Noise-Cancelling Headphones,2,220,0.0,440.0,190,250.0,56.81818181818182,2,Jan
ORD-2023-1082,2023-08-09,2023-08-11,Corporate,Uae,Audio & Accessories,Noise-Cancelling Headphones,8,220,0.05,1672.0,760,912.0,54.54545454545454,2,Aug
ORD-2023-1083,2023-06-19,2023-06-26,Corporate,Saudi Arabia,Computing,"Tablet Air 10""",4,520,0.05,1976.0,1360,616.0,31.17408906882591,7,Jun
ORD-2023-1084,2023-03-23,2023-03-25,Corporate,Saudi Arabia,Computing,"Tablet Air 10""",2,520,0.0,1040.0,680,360.0,34.61538461538461,2,Mar
ORD-2023-1085,2023-12-11,2023-12-15,Small Business,Germany,Audio & Accessories,Mechanical Gaming Keyboard,4,110,0.0,440.0,180,260.0,59.09090909090909,4,Dec
ORD-2023-1086,2023-03-12,2023-03-14,Small Business,Germany,Computing,"Tablet Air 10""",2,520,0.15,884.0,680,204.0,23.076923076923077,2,Mar
ORD-2023-1087,2023-03-21,2023-03-28,Consumer,Germany,Computing,"Tablet Air 10""",3,520,0.1,1404.0,1020,384.0,27.350427350427353,7,Mar
ORD-2023-1088,2023-07-25,2023-07-31,Consumer,Germany,Computing,Laptop Pro 15,1,1200,0.0,1200.0,780,420.0,35.0,6,Jul
ORD-2023-1089,2023-10-05,2023-10-08,Consumer,United Kingdom,Mobile Devices,Smartwatch Series 5,3,280,0.05,798.0,450,348.0,43.609022556390975,3,Oct
ORD-2023-1090,2023-11-12,2023-11-15,Consumer,Saudi Arabia,Mobile Devices,Smartwatch Series 5,1,280,0.2,224.0,150,74.0,33.035714285714285,3,Nov
ORD-2023-1091,2023-04-21,2023-04-24,Corporate,Egypt,Audio & Accessories,Noise-Cancelling Headphones,5,220,0.15,935.0,475,460.0,49.19786096256685,3,Apr
ORD-2023-1092,2023-07-11,2023-07-12,Corporate,Uae,Computing,Laptop Pro 15,4,1200,0.0,4800.0,3120,1680.0,35.0,1,Jul
ORD-2023-1093,2023-08-17,2023-08-19,Corporate,Uae,Computing,Laptop Pro 15,2,1200,0.15,2040.0,1560,480.0,23.52941176470588,2,Aug
ORD-2023-1094,2023-05-04,2023-05-10,Consumer,United Kingdom,Computing,"Tablet Air 10""",3,520,0.0,1560.0,1020,540.0,34.61538461538461,6,May
ORD-2023-1095,2023-08-29,2023-08-31,Consumer,Egypt,Computing,Laptop Pro 15,1,1200,0.0,1200.0,780,420.0,35.0,2,Aug
ORD-2023-1096,2023-07-10,2023-07-12,Small Business,United Kingdom,Computing,"Tablet Air 10""",4,520,0.05,1976.0,1360,616.0,31.17408906882591,2,Jul
ORD-2023-1097,2023-07-24,2023-07-27,Corporate,Saudi Arabia,Computing,"Tablet Air 10""",2,520,0.05,988.0,680,308.0,31.17408906882591,3,Jul
ORD-2023-1098,2023-06-30,2023-07-05,Small Business,Egypt,Computing,"Tablet Air 10""",4,520,0.1,1872.0,1360,512.0,27.350427350427353,5,Jun
ORD-2023-1099,2023-03-06,2023-03-08,Corporate,United Kingdom,Displays,"4K UHD Monitor 27""",2,380,0.0,760.0,520,240.0,31.57894736842105,2,Mar
ORD-2023-1100,2023-06-16,2023-06-17,Consumer,Egypt,Computing,"Tablet Air 10""",2,520,0.0,1040.0,680,360.0,34.61538461538461,1,Jun
ORD-2023-1101,2023-08-20,2023-08-22,Consumer,United Kingdom,Computing,"Tablet Air 10""",4,520,0.0,2080.0,1360,720.0,34.61538461538461,2,Aug
ORD-2023-1102,2023-12-25,2023-12-27,Small Business,Egypt,Computing,"Tablet Air 10""",1,520,0.0,520.0,340,180.0,34.61538461538461,2,Dec
ORD-2023-1103,2023-11-24,2023-11-27,Consumer,United Kingdom,Computing,"Tablet Air 10""",2,520,0.0,1040.0,680,360.0,34.61538461538461,3,Nov
ORD-2023-1104,2023-10-24,2023-10-27,Corporate,Germany,Audio & Accessories,Mechanical Gaming Keyboard,3,110,0.0,330.0,135,195.0,59.09090909090909,3,Oct
ORD-2023-1105,2023-09-08,2023-09-10,Consumer,Egypt,Audio & Accessories,Mechanical Gaming Keyboard,3,110,0.15,280.5,135,145.5,51.87165775401069,2,Sep
ORD-2023-1106,2023-06-04,2023-06-07,Corporate,Egypt,Displays,"4K UHD Monitor 27""",10,380,0.0,3800.0,2600,1200.0,31.57894736842105,3,Jun
ORD-2023-1107,2023-07-21,2023-07-23,Corporate,United States,Computing,"Tablet Air 10""",15,520,0.2,6240.0,5100,1140.0,18.269230769230766,2,Jul
ORD-2023-1108,2023-06-01,2023-06-05,Consumer,Saudi Arabia,Audio & Accessories,Mechanical Gaming Keyboard,1,110,0.1,99.0,45,54.0,54.54545454545454,4,Jun
ORD-2023-1109,2023-06-25,2023-06-27,Corporate,Germany,Mobile Devices,Smartphone Ultra,2,950,0.05,1805.0,1200,605.0,33.51800554016621,2,Jun
ORD-2023-1110,2023-12-28,2023-12-30,Small Business,United Kingdom,Computing,"Tablet Air 10""",1,520,0.0,520.0,340,180.0,34.61538461538461,2,Dec
ORD-2023-1111,2023-09-22,2023-09-25,Small Business,Uae,Audio & Accessories,Mechanical Gaming Keyboard,2,110,0.0,220.0,90,130.0,59.09090909090909,3,Sep
ORD-2023-1112,2023-12-10,2023-12-14,Consumer,Egypt,Audio & Accessories,Mechanical Gaming Keyboard,2,110,0.05,209.0,90,119.0,56.9377990430622,4,Dec
ORD-2023-1113,2023-06-14,2023-06-15,Corporate,Uae,Audio & Accessories,Mechanical Gaming Keyboard,1,110,0.05,104.5,45,59.5,56.9377990430622,1,Jun
ORD-2023-1114,2023-08-11,2023-08-12,Consumer,Egypt,Mobile Devices,Smartwatch Series 5,2,280,0.2,448.0,300,148.0,33.035714285714285,1,Aug
ORD-2023-1115,2023-02-26,2023-02-28,Consumer,Germany,Audio & Accessories,Mechanical Gaming Keyboard,2,110,0.05,209.0,90,119.0,56.9377990430622,2,Feb
ORD-2023-1116,2023-11-06,2023-11-09,Corporate,Germany,Computing,Laptop Pro 15,5,1200,0.05,5700.0,3900,1800.0,31.57894736842105,3,Nov
ORD-2023-1117,2023-10-28,2023-11-01,Corporate,Egypt,Audio & Accessories,Mechanical Gaming Keyboard,3,110,0.05,313.5,135,178.5,56.9377990430622,4,Oct
ORD-2023-1118,2023-01-07,2023-01-09,Consumer,Germany,Audio & Accessories,Noise-Cancelling Headphones,1,220,0.0,220.0,95,125.0,56.81818181818182,2,Jan
ORD-2023-1119,2023-09-07,2023-09-10,Small Business,Egypt,Displays,"4K UHD Monitor 27""",5,380,0.05,1805.0,1300,505.0,27.977839335180054,3,Sep
ORD-2023-1120,2023-09-07,2023-09-10,Corporate,Saudi Arabia,Audio & Accessories,Mechanical Gaming Keyboard,3,110,0.1,297.0,135,162.0,54.54545454545454,3,Sep
ORD-2023-1121,2023-04-17,2023-04-22,Corporate,Saudi Arabia,Mobile Devices,Smartphone Ultra,1,950,0.0,950.0,600,350.0,36.84210526315789,5,Apr
ORD-2023-1122,2023-09-29,2023-10-03,Small Business,Saudi Arabia,Computing,"Tablet Air 10""",1,520,0.0,520.0,340,180.0,34.61538461538461,4,Sep
ORD-2023-1123,2023-09-26,2023-09-29,Consumer,Saudi Arabia,Computing,"Tablet Air 10""",1,520,0.0,520.0,340,180.0,34.61538461538461,3,Sep
ORD-2023-1124,2023-11-21,2023-11-24,Small Business,Saudi Arabia,Audio & Accessories,Mechanical Gaming Keyboard,1,110,0.05,104.5,45,59.5,56.9377990430622,3,Nov
ORD-2023-1125,2023-08-08,2023-08-10,Consumer,Germany,Computing,"Tablet Air 10""",10,520,0.05,4940.0,3400,1540.0,31.17408906882591,2,Aug
ORD-2023-1126,2023-04-23,2023-04-25,Small Business,United Kingdom,Computing,Laptop Pro 15,2,1200,0.05,2280.0,1560,720.0,31.57894736842105,2,Apr
ORD-2023-1127,2023-11-08,2023-11-11,Consumer,Uae,Mobile Devices,Smartwatch Series 5,3,280,0.05,798.0,450,348.0,43.609022556390975,3,Nov
ORD-2023-1128,2023-01-28,2023-01-29,Consumer,United States,Computing,Laptop Pro 15,1,1200,0.0,1200.0,780,420.0,35.0,1,Jan
ORD-2023-1129,2023-05-20,2023-05-24,Consumer,Egypt,Audio & Accessories,Mechanical Gaming Keyboard,1,110,0.0,110.0,45,65.0,59.09090909090909,4,May
ORD-2023-1130,2023-02-17,2023-02-21,Consumer,Egypt,Audio & Accessories,Mechanical Gaming Keyboard,4,110,0.15,374.0,180,194.0,51.87165775401069,4,Feb
ORD-2023-1131,2023-05-07,2023-05-11,Consumer,Germany,Computing,"Tablet Air 10""",1,520,0.1,468.0,340,128.0,27.350427350427353,4,May
ORD-2023-1132,2023-09-25,2023-09-28,Corporate,Egypt,Computing,Laptop Pro 15,2,1200,0.05,2280.0,1560,720.0,31.57894736842105,3,Sep
ORD-2023-1133,2023-06-24,2023-06-28,Corporate,Egypt,Computing,"Tablet Air 10""",5,520,0.2,2080.0,1700,380.0,18.269230769230766,4,Jun
ORD-2023-1134,2023-12-16,2023-12-18,Consumer,Saudi Arabia,Computing,"Tablet Air 10""",4,520,0.0,2080.0,1360,720.0,34.61538461538461,2,Dec
ORD-2023-1135,2023-06-25,2023-06-26,Corporate,Saudi Arabia,Mobile Devices,Smartphone Ultra,2,950,0.2,1520.0,1200,320.0,21.052631578947366,1,Jun
ORD-2023-1136,2023-05-05,2023-05-11,Small Business,United Kingdom,Mobile Devices,Smartphone Ultra,5,950,0.0,4750.0,3000,1750.0,36.84210526315789,6,May
ORD-2023-1137,2023-02-10,2023-02-15,Corporate,Saudi Arabia,Audio & Accessories,Noise-Cancelling Headphones,1,220,0.0,220.0,95,125.0,56.81818181818182,5,Feb
ORD-2023-1138,2023-01-18,2023-01-21,Consumer,Germany,Displays,"4K UHD Monitor 27""",8,380,0.15,2584.0,2080,504.0,19.5046439628483,3,Jan
ORD-2023-1139,2023-02-26,2023-02-27,Consumer,Saudi Arabia,Audio & Accessories,Mechanical Gaming Keyboard,5,110,0.05,522.5,225,297.5,56.9377990430622,1,Feb
ORD-2023-1140,2023-09-30,2023-10-01,Small Business,Uae,Audio & Accessories,Noise-Cancelling Headphones,1,220,0.0,220.0,95,125.0,56.81818181818182,1,Sep
ORD-2023-1141,2023-06-19,2023-06-22,Corporate,Uae,Computing,Laptop Pro 15,2,1200,0.0,2400.0,1560,840.0,35.0,3,Jun
ORD-2023-1142,2023-05-07,2023-05-09,Consumer,Germany,Audio & Accessories,Noise-Cancelling Headphones,3,220,0.05,627.0,285,342.0,54.54545454545454,2,May
ORD-2023-1143,2023-02-17,2023-02-20,Consumer,United Kingdom,Mobile Devices,Smartphone Ultra,5,950,0.0,4750.0,3000,1750.0,36.84210526315789,3,Feb
ORD-2023-1144,2023-01-25,2023-01-28,Consumer,Saudi Arabia,Mobile Devices,Smartwatch Series 5,2,280,0.0,560.0,300,260.0,46.42857142857143,3,Jan
ORD-2023-1145,2023-09-28,2023-09-30,Consumer,United States,Computing,"Tablet Air 10""",5,520,0.0,2600.0,1700,900.0,34.61538461538461,2,Sep
ORD-2023-1146,2023-12-31,2024-01-05,Corporate,Saudi Arabia,Audio & Accessories,Mechanical Gaming Keyboard,3,110,0.0,330.0,135,195.0,59.09090909090909,5,Dec
ORD-2023-1147,2023-08-18,2023-08-21,Corporate,Egypt,Audio & Accessories,Noise-Cancelling Headphones,1,220,0.0,220.0,95,125.0,56.81818181818182,3,Aug
ORD-2023-1148,2023-06-25,2023-06-30,Consumer,Germany,Audio & Accessories,Mechanical Gaming Keyboard,1,110,0.05,104.5,45,59.5,56.9377990430622,5,Jun
ORD-2023-1149,2023-08-02,2023-08-04,Consumer,Uae,Displays,"4K UHD Monitor 27""",1,380,0.1,342.0,260,82.0,23.976608187134502,2,Aug
ORD-2023-1150,2023-09-03,2023-09-06,Corporate,United Kingdom,Displays,"4K UHD Monitor 27""",1,380,0.0,380.0,260,120.0,31.57894736842105,3,Sep
ORD-2023-1151,2023-08-09,2023-08-13,Consumer,Saudi Arabia,Displays,"4K UHD Monitor 27""",8,380,0.0,3040.0,2080,960.0,31.57894736842105,4,Aug
ORD-2023-1152,2023-12-06,2023-12-09,Corporate,Germany,Audio & Accessories,Noise-Cancelling Headphones,1,220,0.0,220.0,95,125.0,56.81818181818182,3,Dec
ORD-2023-1153,2023-10-11,2023-10-13,Corporate,Uae,Computing,Laptop Pro 15,3,1200,0.0,3600.0,2340,1260.0,35.0,2,Oct
ORD-2023-1154,2023-05-30,2023-06-02,Consumer,Uae,Audio & Accessories,Mechanical Gaming Keyboard,4,110,0.0,440.0,180,260.0,59.09090909090909,3,May
ORD-2023-1155,2023-04-07,2023-04-10,Consumer,Saudi Arabia,Mobile Devices,Smartwatch Series 5,3,280,0.0,840.0,450,390.0,46.42857142857143,3,Apr
ORD-2023-1156,2023-04-04,2023-04-08,Corporate,Uae,Computing,Laptop Pro 15,5,1200,0.1,5400.0,3900,1500.0,27.77777777777778,4,Apr
ORD-2023-1157,2023-01-18,2023-01-21,Corporate,Saudi Arabia,Audio & Accessories,Mechanical Gaming Keyboard,1,110,0.05,104.5,45,59.5,56.9377990430622,3,Jan
ORD-2023-1158,2023-12-03,2023-12-05,Consumer,United States,Computing,Laptop Pro 15,1,1200,0.1,1080.0,780,300.0,27.77777777777778,2,Dec
ORD-2023-1159,2023-05-29,2023-06-01,Corporate,Germany,Computing,"Tablet Air 10""",1,520,0.0,520.0,340,180.0,34.61538461538461,3,May
ORD-2023-1160,2023-11-30,2023-12-01,Consumer,Saudi Arabia,Displays,"4K UHD Monitor 27""",2,380,0.0,760.0,520,240.0,31.57894736842105,1,Nov
ORD-2023-1161,2023-03-27,2023-03-31,Corporate,Egypt,Computing,"Tablet Air 10""",8,520,0.0,4160.0,2720,1440.0,34.61538461538461,4,Mar
